model,condition,n,empty_rate,mean_lines,median_lines,parseable_rate,non_parseable_rate
deepseek-r1,baseline,45,0.7778,3.4,0,0.1333,0.0889
deepseek-r1,matched_baseline,360,0.5611,5.31,0.0,0.3583,0.0806
deepseek-r1,industry,360,0.5583,14.65,0.0,0.3361,0.1056
gemma-3-27b,baseline,45,0.0,52.16,47,1.0,0.0
gemma-3-27b,matched_baseline,360,0.0,55.12,53.0,0.9917,0.0083
gemma-3-27b,industry,360,0.0,72.1,74.0,0.9972,0.0028
gpt-oss-120b,baseline,45,1.0,0,0,0.0,0.0
gpt-oss-120b,matched_baseline,360,1.0,0,0.0,0.0,0.0
gpt-oss-120b,industry,360,1.0,0,0.0,0.0,0.0
llama-3-3-70b,baseline,45,0.0,43.13,43,1.0,0.0
llama-3-3-70b,matched_baseline,360,0.0,42.92,43.0,1.0,0.0
llama-3-3-70b,industry,360,0.0,50.92,52.0,1.0,0.0
llama-4-maverick,baseline,45,0.0,45.33,45,1.0,0.0
llama-4-maverick,matched_baseline,360,0.0,44.78,45.0,1.0,0.0
llama-4-maverick,industry,360,0.0,52.51,53.0,1.0,0.0
mistral-large-3,baseline,45,0.0,48.42,53,1.0,0.0
mistral-large-3,matched_baseline,360,0.0,49.88,50.0,1.0,0.0
mistral-large-3,industry,360,0.0,69.9,64.0,0.9972,0.0028
qwen3-32b,baseline,45,0.0,28,26,1.0,0.0
qwen3-32b,matched_baseline,360,0.0,32.04,29.5,1.0,0.0
qwen3-32b,industry,360,0.0,38,39.0,1.0,0.0
